Name,"Years active","Proven victims","Possible victims"
"Green, Ricky Lee",1985–1986,4,12
"Grinder, James B.",1976–1984,4,4
"Grissom, Richard",1977–1989,4,4
"Halliday, Lizzie",1890s,4,7
"Hance, William Henry",1977–1978,4,4
"Harris, Michael Darnell",1981–1982,4,10
"Harrison, Kenneth",1967–1969,4,4
"Hickson, Monroe",1946,4,4
"Hilton, Gary",2007–2008,4,4+
"Holman, Richard",1978–1979,4,9+
"Hunter, Richard Louis",1986,4,4
"Ingle, Phillip Lee",1991,4,4
"Jackson, Homer",1983–1993,4,4+
"Johnson, Melvin",1984–1988,4,4+
"Johnson, Michael",2008–2010,4,4+
"Jones, Daniel O.",1998–2001,4,4
"Junco, Francisco del",1995–1996,4,4
"Kelly, Alvin Andrew",1984,4,4
"Kimball, Scott Lee",2003–2004,4,5+
"Knight, Thomas",1974–1980,4,4
"Koedatich, James",1971–1982,4,4
"Ladd, Robert Charles",1978–1996,4,4
"Lagrone, Edward",1976–1991,4,6
"Laudenberg, Adolph",1972–1975,4,6
"Little, Jerry",1985–1988,4,4
"Lockett, Will",1912–1920,4,4
"Lockhart, Michael Lee",1987–1988,4,6+
"Long, Neal",1972–1975,4,7+
"Lyles, Anjette",1952–1958,4,4
"Malveaux, John Peter",1997,4,5
"Martin, Deangelo Kenneth",2018–2019,4,6
"Martin, Lee Roy",1967–1968,4,4
"Masini, Frank",1991–1992,4,4
"Matthews, Eric",1994–1998,4,4
"McFadden, Jerry Walter",1973–1986,4,4
"McGregor, Edward George",1990–2006,4,4
"Meirhofer, David",1967–1974,4,4
"Miller, Donald Gene",1977–1978,4,4
"Morin, Stephen",1969–1981,4,48
"Morse, Hugh",1959–1961,4,4+
"Newman, Allan Patterson",1991–1992,4,4
"Nissensohn, Joseph",1981–1989,4,4+
"Normore, Mario",2017,4,4
"Ortiz, Juan David",2018,4,4
"Pace, Lyndon Fitzgerald",1988–1989,4,5
"Peterson, Christopher",1990,4,7
"Presley, Aeman",2014,4,4
"Price, Craig",1987–1989,4,4
"Price, Larme",2003,4,4
"Ralston, Larry",1975–1977,4,5+
"Ranes, Danny",1972,4,4
"Rardon, Gary",1962–1974,4,4
"Reece, William Lewis",1997,4,4+
"Reeves, Jack",1967–1994,4,4
"Rich, Darrell Keith",1978,4,4
"Richmond, Earl",1991,4,4
"Rivera, Reinaldo",1999–2000,4,4
"Robbins, Malcolm",1979–1980,4,4+
"Roche, John Francis",1953–1954,4,6
"Rogers, Glen Edward",1993–1995,4,5
"Rozier, Robert",1981–1986,4,7
"Segundo, Juan",1986–1995,4,4+
"Seoung, Doeur",1985–1998,4,4
"Shermantine, Wesley",1984–1999,4,19
"Shore, Anthony Allen",1986–1995,4,4+
"Silva, Mauricio",1978–1984,4,4
