cue,total,cue_mfd2,response_mfd1,cue_mfd1,response_mfd2,cue_hte,response_hte,response_emotion,cue_emotion,cue_moral,response_moral,link,pos,previous_link,lower,is_synonym,degree,pos_score,neg_score,polarity
grubby,77.0,0,3,0,2,0,2,0,0.0,0,2,0.9706949353610436,a n s,0.6979166666666666,True,,96.0,0.041666666666666664,0.6979166666666666,0.171875
grudge,64.0,0,2,0,3,30,4,9,30.0,0,3,0.1487018529175664,n v,0.0505050505050505,True,,99.0,0.0,0.050505050505050504,0.47474747474747475
gruel,70.0,0,1,0,3,0,2,4,0.0,0,1,0.2024008581787433,n,0.125,True,,88.0,0.0,0.022727272727272728,0.48863636363636365
grumble,47.0,0,1,0,1,0,2,3,0.0,0,3,0.0514091130550619,n v,0.0,True,,93.0,0.0,0.0,0.5
grunge,45.0,0,3,0,3,0,2,0,0.0,0,3,0.1744777195596412,n,0.1030927835051546,True,,97.0,0.0,0.15463917525773196,0.422680412371134
grunt,55.0,0,0,0,1,0,1,3,0.0,0,0,0.0583904521841168,n v,0.0,True,,96.0,0.0,0.0,0.5
guacamole,89.0,0,0,0,1,0,2,1,0.0,0,0,0.0495149464827383,n,0.0,True,,97.0,0.0,0.0,0.5
guarantee,81.0,0,5,0,7,0,10,4,0.0,0,6,0.1901700958278909,n v,0.0729166666666666,True,,96.0,0.07291666666666667,0.0,0.5364583333333334
guard,79.0,0,9,44,7,0,4,2,0.0,0,4,0.3236174406567436,n v,0.21,True,,100.0,0.21,0.0,0.605
guardian,86.0,0,3,24,5,0,3,1,0.0,0,4,0.563437325758091,n,0.41,True,,100.0,0.44,0.0,0.72
guess,48.0,0,0,0,2,0,3,0,0.0,0,1,0.0444601373187473,n v,0.02,True,,100.0,0.0,0.0,0.5
guessing,58.0,0,0,0,0,0,4,1,0.0,0,0,0.0330934886029957,n v,0.0,True,,97.0,0.0,0.0,0.5
guest,73.0,0,3,0,6,0,3,0,0.0,0,1,0.1649924682044969,n,0.09,True,,100.0,0.1,0.0,0.55
guidance,65.0,0,2,0,6,0,1,1,0.0,0,4,0.3658880070475144,n,0.2828282828282828,True,,99.0,0.2828282828282828,0.0,0.6414141414141414
guide,52.0,18,1,0,2,0,1,0,0.0,0,2,0.1162244184848205,n v,0.0618556701030927,True,,97.0,0.061855670103092786,0.0,0.5309278350515464
guideline,79.0,0,2,0,5,0,4,0,0.0,0,2,0.2638982547750563,n,0.0721649484536082,True,,97.0,0.05154639175257732,0.0,0.5257731958762887
guiding,64.0,26,4,0,7,0,2,0,0.0,0,5,0.2677758767662893,s v,0.1938775510204081,True,,98.0,0.19387755102040816,0.0,0.596938775510204
guild,70.0,0,3,29,7,0,3,1,0.0,0,3,0.3344232390731606,n,0.2083333333333333,True,,96.0,0.1875,0.0,0.59375
