cue,total,cue_mfd2,response_mfd1,cue_mfd1,response_mfd2,cue_hte,response_hte,response_emotion,cue_emotion,cue_moral,response_moral,link,pos,previous_link,lower,is_synonym,degree,pos_score,neg_score,polarity
Abel,69.0,0,0,0,2,0,2,0,0.0,0,1,0.0675973617307839,n,0.0329670329670329,False,,91.0,0.03296703296703297,0.0,0.5164835164835165
Aboriginal,46.0,0,0,0,2,0,1,0,0.0,0,0,0.0725933593758472,a n s,0.0309278350515463,False,,97.0,0.030927835051546393,0.0,0.5154639175257731
Adam,1.0,0,0,0,0,1,0,0,0.0,0,0,0.0003061224489795,n,0.0,False,,98.0,0.0,0.0,0.5
Advil,59.0,0,0,0,2,0,0,1,0.0,0,0,0.4602473981432063,n,0.240506329113924,False,,79.0,0.0,0.24050632911392406,0.379746835443038
Africa,49.0,0,0,0,2,0,2,0,0.0,0,0,0.0965654354439731,n,0.0404040404040404,False,,99.0,0.04040404040404041,0.0,0.5202020202020202
African,51.0,0,2,0,4,0,4,0,0.0,0,2,0.1211433867147545,a n,0.0606060606060606,False,,99.0,0.06060606060606061,0.0,0.5303030303030303
Alaska,65.0,0,0,0,1,0,1,0,0.0,0,0,0.0679104728604728,n,0.0,False,,100.0,0.0,0.0,0.5
Albert,23.0,0,0,0,0,0,2,0,0.0,0,0,0.0241381055452484,n,0.0,False,,100.0,0.0,0.0,0.5
Alpine,6.0,0,0,0,1,0,2,0,0.0,0,0,0.0081817560694168,a s,0.0,False,,97.0,0.0,0.0,0.5
Alps,7.0,0,0,0,0,0,0,0,0.0,0,0,0.0047645551727184,n,0.0,False,,98.0,0.0,0.0,0.5
Alvin,4.0,0,0,0,0,0,1,0,0.0,0,0,0.0036829753161411,,0.0,False,,91.0,0.0,0.0,0.5
Amazon,32.0,0,0,0,1,0,3,0,0.0,0,0,0.0154631262372468,n,0.0,False,,100.0,0.0,0.0,0.5
America,65.0,0,2,0,3,0,9,0,0.0,0,3,0.1562288476546066,n,0.0707070707070707,False,,99.0,0.06060606060606061,0.0,0.5303030303030303
American,53.0,0,6,0,5,0,9,0,0.0,0,2,0.1445754190281281,a n,0.07,False,,100.0,0.07,0.0,0.535
Americans,59.0,0,3,0,1,0,8,2,0.0,0,1,0.0530776597011451,n,0.0,False,,99.0,0.0,0.0,0.5
Antarctic,53.0,0,0,0,0,0,3,0,0.0,0,0,0.0193540619097614,n s,0.0,False,,100.0,0.0,0.0,0.5
April,26.0,0,0,0,0,0,0,0,0.0,0,0,0.0121,n,0.0,False,,100.0,0.0,0.0,0.5
Arab,54.0,0,3,0,3,0,1,0,0.0,0,2,0.1246766934170559,n,0.03,False,,100.0,0.02,0.0,0.51
Arabic,18.0,0,1,0,0,0,1,0,0.0,0,0,0.0255584247112165,a n,0.0,False,,100.0,0.0,0.0,0.5
Aries,32.0,0,1,0,1,0,0,0,0.0,0,1,0.0392743678757211,n,0.0,False,,97.0,0.0,0.0,0.5
Arizona,44.0,0,1,0,3,0,1,0,0.0,0,1,0.1486183692052273,n,0.04,False,,100.0,0.0,0.03,0.485
Arthur,61.0,0,0,0,0,0,0,0,0.0,0,0,0.1988201324138823,n,0.0,False,,96.0,0.0,0.0,0.5
Asia,67.0,0,0,0,1,0,4,0,0.0,0,0,0.064296163351233,n,0.0,False,,99.0,0.0,0.0,0.5
Asian,55.0,0,1,0,3,0,2,1,0.0,0,0,0.1220440025119701,a n,0.08,False,,100.0,0.08,0.0,0.54
Australia,41.0,0,0,0,1,0,3,0,0.0,0,1,0.033393570362189,n,0.0,False,,100.0,0.0,0.0,0.5
Australian,24.0,0,0,0,1,0,2,0,0.0,0,0,0.0196512569291823,a n,0.0,False,,100.0,0.0,0.0,0.5
Austria,42.0,0,2,0,2,0,1,0,0.0,0,1,0.2193510712808958,n,0.1717171717171717,False,,99.0,0.0,0.0,0.5
BBQ,54.0,0,0,0,1,0,0,0,0.0,0,0,0.0768727263293794,,0.0,False,,100.0,0.0,0.0,0.5
Bambi,15.0,0,1,0,0,0,2,2,0.0,0,0,0.0126828791806876,,0.0,False,,99.0,0.0,0.0,0.5
Band-Aid,71.0,0,3,0,10,0,2,2,0.0,0,5,0.4567731351580338,,0.25,False,,100.0,0.06,0.19,0.435
Barbie,79.0,0,0,0,0,0,4,1,0.0,0,0,0.0183257549192748,,0.0,False,,100.0,0.0,0.0,0.5
Batman,12.0,0,2,0,2,0,1,0,0.0,0,2,0.0400427557714744,n,0.03,False,,100.0,0.03,0.0,0.515
Beatles,52.0,0,1,0,1,0,3,2,0.0,0,1,0.028013419203638,n,0.0,False,,100.0,0.0,0.0,0.5
Beethoven,45.0,0,0,0,0,0,0,0,0.0,0,0,0.0153943321340915,n,0.0,False,,99.0,0.0,0.0,0.5
Belgian,62.0,0,1,0,1,0,1,1,0.0,0,1,0.0490287386611438,a n,0.0,False,,98.0,0.0,0.0,0.5
Belgium,58.0,0,1,0,2,0,0,0,0.0,0,0,0.2284850925081874,n,0.1717171717171717,False,,99.0,0.0,0.020202020202020204,0.4898989898989899
Berlin,59.0,0,1,0,1,0,1,0,0.0,0,1,0.1067117206145188,n,0.0,False,,97.0,0.0,0.0,0.5
Beyoncé,61.0,0,0,0,2,0,2,0,0.0,0,0,0.0860259261454133,,0.0625,False,,96.0,0.0,0.0,0.5
Billy,67.0,0,0,0,1,0,2,0,0.0,0,0,0.0388630905239851,n,0.0,False,,90.0,0.0,0.0,0.5
Bob,40.0,0,0,0,0,0,3,2,0.0,0,0,0.0202087199363101,n v,0.0,False,,99.0,0.0,0.0,0.5
Boston,33.0,0,1,0,0,0,1,0,0.0,0,1,0.0350021951348022,n,0.0,False,,99.0,0.0,0.0,0.5
Brazil,50.0,0,0,0,3,0,1,0,0.0,0,1,0.1932034251006028,n,0.16,False,,100.0,0.16,0.0,0.58
Britain,90.0,0,1,0,4,0,1,1,0.0,0,1,0.2264038200222294,n,0.11,False,,100.0,0.1,0.0,0.55
Britannica,10.0,0,0,0,0,0,0,0,0.0,0,0,0.0190079713697804,,0.0,False,,91.0,0.0,0.0,0.5
British,37.0,0,2,0,5,0,3,0,0.0,0,2,0.1537026180869342,a n,0.1111111111111111,False,,99.0,0.09090909090909091,0.0,0.5454545454545454
Broadway,7.0,0,0,0,0,0,0,0,0.0,0,0,0.0020176742297345,n,0.0,False,,100.0,0.0,0.0,0.5
Buddha,69.0,0,1,0,4,0,3,4,0.0,0,3,0.3793593976891086,n,0.202020202020202,False,,99.0,0.20202020202020202,0.0,0.601010101010101
Buddhism,68.0,0,2,0,4,0,1,2,0.0,0,4,0.5177010919158875,n,0.3333333333333333,False,,99.0,0.32323232323232326,0.0,0.6616161616161617
Buddhist,74.0,0,2,0,7,0,0,2,0.0,0,4,0.7391761918228537,a n,0.5,False,,100.0,0.5,0.0,0.75
CAD,22.0,0,0,0,1,0,2,0,0.0,0,3,0.0228848311036682,n,0.0,False,,76.0,0.0,0.0,0.5
CD,47.0,0,0,0,2,0,0,0,0.0,0,0,0.0495118572661286,n s,0.03,False,,100.0,0.0,0.0,0.5
CEO,77.0,0,2,0,6,0,4,0,0.0,0,2,0.4782443373263851,n,0.3434343434343434,False,,99.0,0.3333333333333333,0.0,0.6666666666666666
CIA,74.0,0,5,0,5,0,4,2,0.0,0,6,0.1758295495894468,n,0.07,False,,100.0,0.0,0.03,0.485
Caesar,65.0,0,2,0,4,0,1,0,0.0,0,3,0.1484673675530818,n,0.08,False,,100.0,0.05,0.03,0.51
Cain,59.0,0,0,0,2,0,1,1,0.0,0,1,0.08342157696269,n,0.0266666666666666,False,,75.0,0.0,0.02666666666666667,0.4866666666666667
Cairo,83.0,0,2,0,2,0,0,0,0.0,0,1,0.0763748279535966,n,0.0212765957446808,False,,94.0,0.02127659574468085,0.0,0.5106382978723404
California,48.0,0,0,0,1,0,2,1,0.0,0,0,0.0653508427846984,n,0.0,False,,100.0,0.0,0.0,0.5
Canada,48.0,0,2,0,3,0,2,0,0.0,0,1,0.1911037523053927,n,0.1414141414141414,False,,99.0,0.15151515151515152,0.0,0.5757575757575758
Canadian,33.0,0,0,0,1,0,5,0,0.0,0,0,0.0256364310762058,a n,0.0,False,,100.0,0.0,0.0,0.5
Capricorn,35.0,0,1,0,1,0,1,0,0.0,0,1,0.0174873001876028,n,0.0,False,,98.0,0.0,0.0,0.5
Caribbean,59.0,0,0,0,0,0,2,0,0.0,0,0,0.0197614943403888,n,0.0,False,,100.0,0.0,0.0,0.5
Celsius,35.0,0,0,0,0,0,0,0,0.0,0,0,0.0096064316956125,n,0.0,False,,100.0,0.0,0.0,0.5
Celtic,67.0,0,0,0,1,0,3,1,0.0,0,0,0.0523969795886858,a n,0.0,False,,96.0,0.0,0.0,0.5
Cheddar,96.0,0,0,0,0,0,1,0,0.0,0,0,0.0475280545160246,n,0.0,False,,99.0,0.0,0.0,0.5
Chevy,37.0,0,1,0,1,0,1,0,0.0,0,1,0.0118355927698032,v,0.0,False,,95.0,0.0,0.0,0.5
Chicago,27.0,0,0,0,1,0,2,1,0.0,0,0,0.0278787149849005,n,0.0,False,,100.0,0.0,0.0,0.5
China,50.0,0,4,0,4,0,5,0,0.0,0,1,0.1060167120535032,n,0.06,False,,100.0,0.04,0.02,0.51
Chinese,68.0,0,0,0,1,0,1,0,0.0,0,0,0.0589728427729036,a n,0.0,False,,99.0,0.0,0.0,0.5
Chinese food,51.0,0,2,0,2,0,5,0,0.0,0,2,0.0948150011320028,,0.0202020202020202,False,,99.0,0.0,0.0,0.5
Christ,82.0,0,2,0,6,0,2,2,0.0,0,2,0.2880508053886909,n,0.1515151515151515,False,,99.0,0.16161616161616163,0.0,0.5808080808080808
Christian,78.0,0,4,0,13,0,5,1,0.0,0,10,0.6740524424045353,a n,0.4444444444444444,False,,99.0,0.37373737373737376,0.050505050505050504,0.6616161616161617
Christianity,85.0,0,3,0,12,0,3,3,0.0,0,7,0.7080294926858521,n,0.4545454545454545,False,,99.0,0.41414141414141414,0.04040404040404041,0.6868686868686869
Christmas,31.0,0,1,0,1,0,2,3,0.0,0,1,0.025600165225219,n,0.0,False,,100.0,0.03,0.0,0.515
Christmas tree,43.0,0,2,0,1,0,2,4,0.0,0,2,0.0408803062728805,,0.0,False,,100.0,0.07,0.0,0.535
Cinderella,68.0,0,0,0,1,0,4,0,0.0,0,0,0.0498088296564247,n,0.0,False,,100.0,0.0,0.0,0.5
Civil War,62.0,0,5,0,7,0,7,1,0.0,0,7,0.2223483283902053,,0.12,False,,100.0,0.0,0.09,0.455
Coca Cola,22.0,0,1,0,2,0,2,0,0.0,0,1,0.0464207264937343,,0.02,False,,100.0,0.0,0.0,0.5
Colorado,43.0,0,0,0,1,0,1,1,0.0,0,0,0.1064657084137603,n,0.0,False,,99.0,0.0,0.0,0.5
Colt,65.0,0,0,0,1,0,4,0,0.0,0,0,0.0516310311918019,n,0.0,False,,94.0,0.0,0.0,0.5
Columbus,25.0,0,1,0,3,0,3,0,0.0,0,2,0.0625490683338464,n,0.0309278350515463,False,,97.0,0.0,0.020618556701030927,0.4896907216494845
Crayola,2.0,0,0,0,0,0,0,0,0.0,0,0,0.0017977528089887,,0.0,False,,89.0,0.0,0.0,0.5
Creole,33.0,0,0,0,1,0,2,0,0.0,0,0,0.027247981353608,a n,0.0,False,,87.0,0.0,0.0,0.5
Cuba,51.0,0,4,0,2,0,1,0,0.0,0,1,0.1204572399869635,n,0.09,False,,100.0,0.0,0.0,0.5
DNA,39.0,0,0,0,2,0,0,0,0.0,0,0,0.0745483373151396,n,0.06,False,,100.0,0.0,0.0,0.5
DVD,59.0,0,0,0,1,0,1,0,0.0,0,0,0.0166174841195459,n,0.0,False,,100.0,0.0,0.0,0.5
Dante,61.0,0,0,0,2,0,1,0,0.0,0,1,0.2449747055302826,n,0.1020408163265306,False,,98.0,0.0,0.0,0.5
Darwin,53.0,0,0,0,0,0,1,0,0.0,0,0,0.0122759817236785,n,0.0,False,,99.0,0.0,0.0,0.5
David,25.0,0,1,0,3,0,5,1,0.0,0,1,0.0649166765923466,n,0.0303030303030303,False,,99.0,0.030303030303030304,0.0,0.5151515151515151
David Bowie,47.0,0,0,0,0,0,0,2,0.0,0,0,0.0210459514425018,,0.0,False,,92.0,0.0,0.0,0.5
Davidson,14.0,0,1,0,1,0,2,1,0.0,0,0,0.0119074029455923,,0.0,False,,88.0,0.0,0.0,0.5
December,10.0,0,0,0,0,0,2,0,0.0,0,0,0.0026193993373669,n,0.0,False,,100.0,0.0,0.0,0.5
Dennis,46.0,0,0,0,0,0,1,0,0.0,0,0,0.0976152773758345,,0.0,False,,98.0,0.0,0.0,0.5
Disney,40.0,0,2,0,0,0,1,1,0.0,0,0,0.0434945612669509,n,0.0,False,,98.0,0.0,0.0,0.5
Doctor Who,26.0,0,0,0,1,0,0,1,0.0,0,0,0.03573737349274,,0.0206185567010309,False,,97.0,0.020618556701030927,0.0,0.5103092783505154
Dolly,29.0,0,0,0,1,0,2,0,0.0,0,1,0.0136444433459643,n,0.0,False,,96.0,0.03125,0.0,0.515625
Donald,3.0,0,0,0,1,0,1,0,0.0,0,0,0.0025080808080808,,0.0,False,,100.0,0.0,0.0,0.5
Dorothy,16.0,0,0,0,1,0,2,0,0.0,0,1,0.009033149859771,,0.0,False,,96.0,0.0,0.0,0.5
Dracula,72.0,0,0,0,2,0,1,0,0.0,0,0,0.2866297767790078,n,0.0707070707070707,False,,99.0,0.0,0.0,0.5
Dutch,35.0,0,1,0,5,0,1,0,0.0,0,1,0.0902348643806436,a n,0.0625,False,,96.0,0.052083333333333336,0.0,0.5260416666666666
Easter,80.0,0,1,0,3,0,1,1,0.0,0,1,0.103921945756917,n,0.03,False,,100.0,0.03,0.0,0.515
Ebola,77.0,0,2,0,5,0,2,1,0.0,0,1,0.1698349873860077,n,0.0,False,,84.0,0.0,0.8333333333333334,0.08333333333333331
Edison,6.0,0,0,0,0,0,0,0,0.0,0,0,0.0014883529169243,n,0.0,False,,98.0,0.0,0.0,0.5
Egypt,79.0,0,1,0,2,0,1,0,0.0,0,1,0.0822411004346831,n,0.06,False,,100.0,0.0,0.0,0.5
Einstein,28.0,0,0,0,0,0,0,0,0.0,0,0,0.0091236177946997,n,0.0,False,,97.0,0.0,0.0,0.5
Elvis,25.0,0,0,0,0,0,0,0,0.0,0,0,0.0353374412107471,n,0.0,False,,99.0,0.0,0.0,0.5
England,65.0,0,2,0,3,0,1,0,0.0,0,1,0.2380159395642656,n,0.1717171717171717,False,,99.0,0.18181818181818182,0.0,0.5909090909090909
English,32.0,0,1,0,0,0,1,0,0.0,0,0,0.0204148084499177,a n,0.0,False,,99.0,0.0,0.0,0.5
Euro,74.0,0,1,0,1,0,1,1,0.0,0,1,0.0566009507567949,n,0.0,False,,99.0,0.0,0.0,0.5
Europe,63.0,0,2,0,3,0,4,0,0.0,0,1,0.1681038489406354,n,0.0816326530612244,False,,98.0,0.061224489795918366,0.0,0.5306122448979592
European,68.0,0,3,0,2,0,4,1,0.0,0,0,0.0906425584029894,a n,0.0202020202020202,False,,99.0,0.030303030303030304,0.0,0.5151515151515151
FBI,76.0,0,5,0,3,0,4,1,0.0,0,5,0.2875722971001501,n,0.1616161616161616,False,,99.0,0.15151515151515152,0.0,0.5757575757575758
Facebook,57.0,0,2,0,1,0,2,3,0.0,0,2,0.1168194752720662,,0.0303030303030303,False,,99.0,0.0,0.030303030303030304,0.48484848484848486
Fahrenheit,17.0,0,0,0,0,0,0,0,0.0,0,0,0.0058240800984824,a n,0.0,False,,99.0,0.0,0.0,0.5
February,21.0,0,0,0,0,0,0,0,0.0,0,0,0.0113409256259873,n,0.0,False,,99.0,0.0,0.0,0.5
Florida,40.0,0,0,0,0,0,2,0,0.0,0,1,0.0889231731116812,n,0.0,False,,98.0,0.0,0.0,0.5
Ford,17.0,0,1,0,1,0,1,0,0.0,0,1,0.0305509641873278,n v,0.0202020202020202,False,,99.0,0.0,0.020202020202020204,0.4898989898989899
Forrest,3.0,0,0,0,0,0,1,0,0.0,0,0,0.0012281164383137,,0.0,False,,82.0,0.0,0.0,0.5
France,64.0,0,1,0,4,0,2,2,0.0,0,1,0.2161439507026893,n,0.1428571428571428,False,,98.0,0.14285714285714285,0.0,0.5714285714285714
Frankenstein,77.0,0,0,0,0,0,3,0,0.0,0,0,0.0693592912495414,n,0.0,False,,97.0,0.0,0.0,0.5
French,41.0,0,0,0,2,0,1,2,0.0,0,0,0.0875829904233828,a n v,0.0505050505050505,False,,99.0,0.04040404040404041,0.0,0.5202020202020202
French horn,43.0,0,0,0,0,0,2,0,0.0,0,0,0.0181055782303399,,0.0,False,,87.0,0.0,0.0,0.5
French toast,65.0,0,1,0,2,0,3,0,0.0,0,1,0.1023456312711874,,0.03,False,,100.0,0.0,0.0,0.5
Freud,41.0,0,1,0,0,0,0,0,0.0,0,0,0.0285903311519007,n,0.0,False,,97.0,0.0,0.0,0.5
Friday,34.0,0,1,0,1,0,3,1,0.0,0,1,0.0161395588538445,n,0.0,False,,100.0,0.0,0.0,0.5
GPS,38.0,0,1,0,1,0,0,1,0.0,0,1,0.0180106372019628,n,0.0,False,,99.0,0.0,0.0,0.5
Game Boy,46.0,0,0,0,1,0,1,3,0.0,0,0,0.0702845472968362,,0.0408163265306122,False,,98.0,0.04081632653061224,0.0,0.5204081632653061
Gemini,38.0,0,0,0,2,0,1,0,0.0,0,0,0.050256008071005,n,0.0206185567010309,False,,97.0,0.0,0.020618556701030927,0.4896907216494845
George,32.0,0,1,0,2,0,3,0,0.0,0,1,0.0955851248061215,n,0.0202020202020202,False,,99.0,0.020202020202020204,0.0,0.51010101010101
German,47.0,0,2,0,3,0,3,1,0.0,0,1,0.1044998037537864,a n,0.05,False,,100.0,0.0,0.02,0.49
Germany,54.0,0,4,0,5,0,2,0,0.0,0,3,0.2541284689928481,n,0.1818181818181818,False,,99.0,0.1414141414141414,0.050505050505050504,0.5454545454545454
God,81.0,0,4,0,12,0,5,3,0.0,0,7,0.5489379216825485,n,0.3939393939393939,False,,99.0,0.3434343434343434,0.050505050505050504,0.6464646464646464
Google,58.0,0,1,0,2,0,3,0,0.0,0,1,0.0672785582440495,n v,0.03,False,,100.0,0.0,0.0,0.5
Gothic,55.0,0,1,0,2,0,2,1,0.0,0,1,0.2829628839537366,a n s,0.18,False,,100.0,0.18,0.0,0.59
Great Britain,65.0,0,2,0,4,0,4,0,0.0,0,1,0.1961316636865664,,0.1122448979591836,False,,98.0,0.10204081632653061,0.0,0.5510204081632653
Greek,58.0,0,2,0,3,0,2,0,0.0,0,1,0.1587280536419228,a n,0.1,False,,100.0,0.1,0.0,0.55
HIV,89.0,0,3,0,7,0,2,0,0.0,0,2,0.566450414264267,n,0.1616161616161616,False,,99.0,0.0,0.15151515151515152,0.42424242424242425
Hades,84.0,0,1,0,4,0,1,0,0.0,0,4,0.9308098049219222,n,0.6595744680851063,False,,94.0,0.0,0.6276595744680851,0.18617021276595747
Halloween,53.0,0,0,0,1,0,4,0,0.0,0,0,0.023231930446916,n,0.0,False,,100.0,0.0,0.0,0.5
Hamlet,20.0,0,0,0,0,0,0,0,0.0,0,0,0.0079359027755529,n,0.0,False,,98.0,0.0,0.0,0.5
Harley,7.0,0,0,0,0,0,0,0,0.0,0,0,0.0029553068372163,,0.0,False,,99.0,0.0,0.0,0.5
Harry Potter,35.0,0,0,0,1,0,1,1,0.0,0,0,0.0209527802447837,,0.0,False,,100.0,0.0,0.0,0.5
Hawaii,48.0,0,0,0,1,0,1,0,0.0,0,0,0.0350932043721749,n,0.0,False,,99.0,0.0,0.0,0.5
Hawking,21.0,0,1,0,1,0,2,0,0.0,0,1,0.0124701556599692,n v,0.0,False,,92.0,0.0,0.0,0.5
Heather,44.0,0,2,0,1,0,2,0,0.0,0,1,0.0346075455272858,n,0.0,False,,90.0,0.0,0.0,0.5
Hebrew,74.0,0,0,0,3,0,0,0,0.0,0,2,0.2130739061371466,a n,0.0306122448979591,False,,98.0,0.030612244897959183,0.0,0.5153061224489796
Hispanic,58.0,0,2,0,0,0,1,0,0.0,0,0,0.0593424242424242,a n,0.0,False,,100.0,0.0,0.0,0.5
Holland,59.0,0,0,0,1,0,0,0,0.0,0,0,0.0454398002993169,n,0.0,False,,99.0,0.0,0.0,0.5
Hollywood,43.0,0,0,0,0,0,1,0,0.0,0,0,0.0124045936823193,a n s,0.0,False,,99.0,0.0,0.0,0.5
Homer,7.0,0,0,0,0,0,1,0,0.0,0,0,0.00635,n v,0.0,False,,100.0,0.0,0.0,0.5
Hong Kong,62.0,0,0,0,3,0,1,0,0.0,0,0,0.1164037311894454,,0.07,False,,100.0,0.07,0.0,0.535
Hoover,29.0,0,3,0,2,0,0,0,0.0,0,1,0.0932059871112486,n v,0.053763440860215,False,,93.0,0.043010752688172046,0.043010752688172046,0.5
Hunger Games,55.0,0,4,0,5,0,2,1,0.0,0,4,0.1185037646731808,,0.0714285714285714,False,,98.0,0.0,0.07142857142857142,0.4642857142857143
IQ,24.0,0,0,0,0,0,1,0,0.0,0,0,0.0056540404040404,n,0.0,False,,100.0,0.0,0.0,0.5
Ibuprofen,74.0,0,0,0,3,0,1,2,0.0,0,0,0.3905085370902409,n,0.1855670103092783,False,,97.0,0.0,0.17525773195876287,0.41237113402061853
Iceland,59.0,0,0,0,1,0,1,0,0.0,0,0,0.2573371035242177,n,0.22,False,,100.0,0.0,0.0,0.5
Ikea,40.0,0,0,0,1,0,3,2,0.0,0,1,0.030171173983896,,0.0,False,,97.0,0.0,0.0,0.5
India,48.0,0,0,0,4,0,4,0,0.0,0,0,0.258029024234473,n,0.2121212121212121,False,,99.0,0.20202020202020202,0.0,0.601010101010101
Indian,60.0,0,1,0,5,0,4,0,0.0,0,1,0.2212777662916268,a n,0.16,False,,100.0,0.14,0.0,0.5700000000000001
Indians,60.0,0,0,0,2,0,3,0,0.0,0,0,0.0689218703509215,n,0.02,False,,100.0,0.0,0.0,0.5
Indie,46.0,0,1,0,1,0,2,1,0.0,0,0,0.022264396542747,n s,0.0,False,,97.0,0.0,0.0,0.5
Indonesia,45.0,0,1,0,2,0,0,0,0.0,0,1,0.2117891633706639,n,0.1717171717171717,False,,99.0,0.1717171717171717,0.0,0.5858585858585859
Ireland,60.0,0,0,0,2,0,0,1,0.0,0,0,0.1212560312171708,n,0.0808080808080808,False,,99.0,0.08080808080808081,0.0,0.5404040404040404
Irish,52.0,0,2,0,4,0,0,1,0.0,0,1,0.0979972796474913,a n,0.05,False,,100.0,0.05,0.0,0.525
Isaac,47.0,0,0,0,3,0,1,0,0.0,0,1,0.0817471521536494,n,0.0412371134020618,False,,97.0,0.041237113402061855,0.0,0.520618556701031
Islam,85.0,0,3,0,5,0,0,3,0.0,0,4,0.6384933141319539,n,0.404040404040404,False,,99.0,0.37373737373737376,0.0,0.6868686868686869
Israel,67.0,0,5,0,5,0,3,2,0.0,0,4,0.33490831145516,n,0.17,False,,100.0,0.07,0.09,0.49
Italian,55.0,0,1,0,2,0,1,0,0.0,0,0,0.2625287536942597,a n,0.21,False,,100.0,0.21,0.0,0.605
Italy,63.0,0,1,0,5,0,1,1,0.0,0,1,0.2607904850326533,n,0.2,False,,100.0,0.2,0.0,0.6
Jack,30.0,0,0,0,1,0,3,0,0.0,0,0,0.0241218000895622,n v,0.0,False,,99.0,0.0,0.0,0.5
James,41.0,0,2,0,1,0,3,0,0.0,0,1,0.0766971904564724,n v,0.0,False,,98.0,0.02040816326530612,0.0,0.5102040816326531
James Bond,42.0,0,2,0,0,0,3,1,0.0,0,0,0.0226479483671165,,0.0,False,,97.0,0.0,0.0,0.5
Jane,39.0,0,0,0,0,0,3,0,0.0,0,0,0.0257211598162799,,0.0,False,,100.0,0.0,0.0,0.5
January,14.0,0,0,0,0,0,1,0,0.0,0,0,0.004738775510204,n,0.0,False,,100.0,0.0,0.0,0.5
Japan,47.0,0,2,0,3,0,2,0,0.0,0,2,0.1893104132853951,n v,0.1414141414141414,False,,99.0,0.13131313131313133,0.0,0.5656565656565656
Japanese,53.0,0,2,0,4,0,1,0,0.0,0,0,0.1647392805607091,a n,0.12,False,,100.0,0.13,0.0,0.565
Jell-O,50.0,0,1,0,3,0,0,2,0.0,0,0,0.0743548217367288,n,0.0408163265306122,False,,98.0,0.0,0.02040816326530612,0.4897959183673469
Jesus,81.0,0,2,0,8,0,2,2,0.0,0,3,0.2973468060405357,n,0.12,False,,100.0,0.1,0.02,0.54
Jew,65.0,0,1,0,4,0,0,1,0.0,0,2,0.2919352723274357,n,0.1836734693877551,False,,98.0,0.16326530612244897,0.02040816326530612,0.5714285714285714
Jewish,63.0,0,2,0,11,0,0,1,0.0,0,5,0.4390727055984066,a,0.303030303030303,False,,99.0,0.26262626262626265,0.04040404040404041,0.6111111111111112
Jews,57.0,0,1,0,4,0,0,0,0.0,0,3,0.353808964130713,n,0.2222222222222222,False,,99.0,0.21212121212121213,0.0,0.6060606060606061
Jill,12.0,0,0,0,0,0,2,0,0.0,0,0,0.0023884166703881,,0.0,False,,93.0,0.0,0.0,0.5
Joe,39.0,0,0,0,0,0,4,1,0.0,0,0,0.0218011443847475,,0.0,False,,93.0,0.0,0.0,0.5
John,39.0,0,2,0,3,15,1,0,0.0,0,2,0.0973529880348606,n,0.0505050505050505,False,,99.0,0.0,0.050505050505050504,0.47474747474747475
Joseph,47.0,0,2,0,1,0,2,0,0.0,0,1,0.079193359032826,n,0.0,False,,98.0,0.02040816326530612,0.0,0.5102040816326531
Judaism,89.0,0,0,0,3,0,1,1,0.0,0,2,0.6363998493489835,n,0.404040404040404,False,,99.0,0.3939393939393939,0.0,0.696969696969697
July,10.0,0,0,0,0,0,0,0,0.0,0,0,0.0041294990723562,n,0.0,False,,100.0,0.0,0.0,0.5
June,9.0,0,0,0,0,0,2,1,0.0,0,0,0.0055829912808735,n,0.0,False,,100.0,0.0,0.0,0.5
Jupiter,8.0,0,1,0,0,0,0,0,0.0,0,0,0.0135098382433543,n,0.0,False,,99.0,0.0,0.0,0.5
Kansas,40.0,0,1,0,1,0,1,0,0.0,0,1,0.0856595324015149,n,0.0,False,,98.0,0.0,0.0,0.5
Kleenex,89.0,0,1,0,1,0,1,0,0.0,0,1,0.0325190559072738,n,0.0,False,,100.0,0.0,0.0,0.5
Korea,46.0,0,5,0,4,0,1,0,0.0,0,2,0.2466696515889539,n,0.1919191919191919,False,,99.0,0.1111111111111111,0.08080808080808081,0.5151515151515151
Kung fu,67.0,0,4,0,4,0,0,0,0.0,0,3,0.38867527298559,,0.3131313131313131,False,,99.0,0.0,0.2727272727272727,0.36363636363636365
LA,17.0,0,1,0,2,0,1,0,0.0,0,2,0.0380412686502783,n,0.0206185567010309,False,,97.0,0.0,0.020618556701030927,0.4896907216494845
LSD,81.0,0,0,0,2,0,0,0,0.0,0,0,0.5549730775087559,n,0.47,False,,100.0,0.0,0.47,0.265
Labrador,68.0,0,1,0,1,0,0,1,0.0,0,1,0.0178267519952428,n,0.0,False,,100.0,0.0,0.0,0.5
Las Vegas,53.0,0,2,0,4,0,4,1,0.0,0,5,0.1524347002926231,,0.08,False,,100.0,0.0,0.06,0.47
Latin,43.0,0,0,0,1,0,2,0,0.0,0,0,0.0365260419425857,a n,0.0,False,,99.0,0.0,0.0,0.5
Latino,51.0,0,2,0,1,0,3,0,0.0,0,0,0.041051946425394,a n,0.0,False,,100.0,0.02,0.0,0.51
Lee,14.0,0,2,0,4,0,1,1,0.0,0,2,0.0800022511075262,n s,0.0533333333333333,False,,75.0,0.05333333333333334,0.0,0.5266666666666666
Lego,39.0,0,0,0,0,0,0,0,0.0,0,0,0.0109337711024717,n,0.0,False,,98.0,0.02040816326530612,0.0,0.5102040816326531
Leo,63.0,0,0,0,0,0,4,0,0.0,0,0,0.0248905363396303,n,0.0,False,,99.0,0.0,0.0,0.5
