cue,total,cue_mfd2,response_mfd1,cue_mfd1,response_mfd2,cue_hte,response_hte,response_emotion,cue_emotion,cue_moral,response_moral,link,pos,previous_link,lower,is_synonym,degree
monarchy,63.0,9,1,0,3,0,0,0,0.0,0,1,0.021082182899288798,n,0.0,True,,98.0
monastery,87.0,20,2,0,12,0,2,1,0.0,0,4,0.2509399898469322,n,0.08163265306122448,True,,98.0
monetary,71.0,0,1,0,1,0,1,0,0.0,0,1,0.05379553107492266,a,0.0,True,,94.0
money,47.0,0,1,0,5,0,1,1,0.0,0,4,0.08351622692601113,n,0.06,True,,100.0
mongoose,49.0,0,1,0,2,0,1,0,0.0,0,1,0.018761420772857,n,0.0,True,,91.0
moniker,5.0,0,0,0,0,0,0,1,0.0,0,0,0.001529063259231542,n,0.0,True,,80.0
monitor,7.0,0,0,0,1,0,1,0,0.0,0,0,0.0055152292072607936,n v,0.0,True,,100.0
monk,120.0,53,6,0,24,0,1,2,0.0,0,12,0.30235135667353097,n,0.19387755102040816,True,,196.0
monkey,40.0,0,0,0,0,0,1,3,0.0,0,0,0.007896259159962197,n v,0.0,True,,200.0
monocle,9.0,0,0,0,0,0,0,0,0.0,0,0,0.0051809443606843876,n,0.0,True,,92.0
monologue,9.0,0,0,0,0,0,1,0,0.0,0,1,0.0072491272966161,n,0.0,True,,98.0
monopoly,71.0,0,1,0,2,0,2,0,0.0,0,2,0.05399896744776885,n,0.030303030303030304,True,,99.0
monotony,9.0,0,0,0,0,0,0,1,0.0,0,0,0.003847327255029445,n,0.0,True,,98.0
monsoon,15.0,0,0,0,0,0,0,0,0.0,0,0,0.0039881445808497475,n,0.0,True,,94.0
monster,34.0,0,4,0,3,19,4,2,0.0,0,4,0.1111738370035916,n,0.0707070707070707,True,,99.0
month,17.0,0,0,0,0,0,1,0,0.0,0,0,0.0010318004162225267,n,0.0,True,,200.0
monthly,21.0,0,1,0,0,0,1,0,0.0,0,0,0.008472136329279187,n s r,0.0,True,,99.0
monument,52.0,0,4,0,3,0,1,0,0.0,0,3,0.07068663093166039,n,0.04,True,,100.0
moo,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0004522613065326633,n v,0.0,True,,100.0
mood,42.0,0,2,0,2,0,7,3,0.0,0,2,0.11734539408524167,n,0.0707070707070707,True,,99.0
moody,27.0,0,1,0,1,0,6,3,0.0,0,2,0.039758760101783856,n s,0.020618556701030927,True,,97.0
moon,14.0,0,0,0,0,4,0,0,0.0,0,0,0.004317157668764187,n v,0.0,True,,99.0
moonlight,14.0,0,1,0,1,0,1,3,0.0,0,1,0.003949591852743977,n v,0.0,True,,99.0
moonshine,9.0,0,1,0,3,0,0,0,0.0,0,1,0.0141675702755996,n v,0.0,True,,99.0
moose,23.0,0,0,0,0,0,1,0,0.0,0,0,0.007142729674558964,n,0.0,True,,99.0
mop,29.0,0,2,0,1,0,0,0,0.0,0,1,0.04555524911686554,n v,0.0,True,,98.0
moral,148.0,69,29,69,36,69,22,2,0.0,69,39,0.8092314068127915,n s a,0.5482233502538071,True,,197.0
morality,76.0,38,17,38,21,38,14,1,0.0,38,22,0.8328668683842608,n,0.5833333333333334,True,,96.0
more,11.0,0,2,0,2,0,3,0,0.0,0,3,0.051096376862565414,n r a,0.04,True,,100.0
morgue,8.0,0,0,0,3,0,0,0,0.0,0,0,0.001804123711340206,n,0.0,True,,97.0
morning,19.0,0,1,0,2,0,1,0,0.0,0,1,0.023196097311370647,n,0.0,True,,99.0
moron,75.0,0,0,0,0,0,1,0,0.0,0,1,0.035928872659814155,n,0.0,True,,97.0
morphine,71.0,0,3,0,7,0,3,2,0.0,0,1,0.08494466580940618,n,0.0,True,,99.0
morsel,25.0,0,0,0,0,0,0,0,0.0,0,0,0.00903484815381254,n,0.0,True,,92.0
mortal,49.0,0,3,0,5,0,1,0,0.0,0,3,0.13773425937869527,n s a,0.030303030303030304,True,,99.0
mortality,23.0,0,2,0,6,0,1,0,0.0,0,4,0.059782943323651014,n,0.04,True,,100.0
mortar,11.0,0,0,0,0,0,2,0,0.0,0,0,0.009180434595155869,n v,0.0,True,,94.0
mortgage,61.0,0,0,0,1,0,3,0,0.0,0,1,0.021083916253192142,n v,0.0,True,,99.0
mortified,24.0,0,0,0,0,0,0,6,0.0,0,0,0.007192186533704391,s v,0.0,True,,96.0
mosaic,16.0,0,0,0,2,0,0,0,0.0,0,0,0.00889353618424936,n a,0.0,True,,100.0
mosque,85.0,14,2,0,8,0,0,1,0.0,0,7,0.6012108614489566,n,0.35353535353535354,True,,99.0
mosquito,40.0,0,1,0,1,0,3,2,0.0,0,1,0.02316840779182227,n,0.0,True,,100.0
moss,37.0,0,0,0,0,0,0,0,0.0,0,0,0.0046618399148908845,n,0.0,True,,98.0
most,34.0,0,0,0,1,0,0,2,0.0,0,1,0.02499083690757461,r a,0.0,True,,99.0
mote,40.0,0,0,0,1,0,0,0,0.0,0,0,0.0939957780204173,n,0.0,True,,66.0
motel,66.0,0,1,0,2,0,1,0,0.0,0,1,0.027202178274469902,n,0.0,True,,99.0
moth,46.0,0,2,0,2,11,1,2,0.0,0,2,0.038640570702124434,n,0.020202020202020204,True,,99.0
mother,118.0,0,7,33,10,0,7,7,0.0,0,4,0.05408089227096574,n v,0.02,True,,200.0
motherfucker,55.0,0,2,0,7,0,9,2,0.0,0,5,0.330963445436378,n,0.24242424242424243,True,,99.0
motif,25.0,0,0,0,0,0,3,0,0.0,0,0,0.021085351869996948,n,0.0,True,,95.0
motion,28.0,0,1,0,0,0,1,0,0.0,0,0,0.019936837446631262,n v,0.0,True,,100.0
motivate,49.0,0,1,0,3,0,1,3,0.0,0,2,0.062559199463372,v,0.02,True,,100.0
motivated,36.0,0,0,0,3,0,3,3,0.0,0,1,0.020023022875521188,a v,0.0,True,,99.0
motivation,30.0,0,1,0,1,0,1,3,0.0,0,1,0.02381284485486093,n,0.0,True,,99.0
motive,67.0,0,3,0,4,0,8,1,0.0,0,6,0.28238105211748826,n s,0.18181818181818182,True,,99.0
motor,10.0,0,0,0,0,0,1,0,0.0,0,0,0.002062159667743424,n s v,0.0,True,,100.0
motorbike,16.0,0,1,0,0,0,0,0,0.0,0,1,0.019398788909503195,n v,0.0,True,,100.0
motorcycle,39.0,0,0,0,0,0,0,0,0.0,0,0,0.026072024507883734,n v,0.0,True,,98.0
motorway,13.0,0,0,0,0,0,0,0,0.0,0,0,0.003944629973201402,n,0.0,True,,100.0
motto,27.0,0,3,0,2,0,1,0,0.0,0,2,0.052433577743922974,n,0.02040816326530612,True,,98.0
mound,55.0,0,1,0,1,0,0,0,0.0,0,1,0.02273540944165627,n v,0.0,True,,95.0
mount,9.0,0,0,0,0,0,1,1,0.0,0,0,0.007817648967784772,n v,0.0,True,,97.0
mountain,40.0,0,1,0,1,0,3,1,0.0,0,1,0.004921066170403309,n,0.0,True,,199.0
mountaineer,4.0,0,0,0,1,0,0,0,0.0,0,0,0.0021094998121399455,n v,0.0,True,,96.0
mourn,44.0,0,0,0,2,0,2,4,9.0,0,0,0.018153590305919926,v,0.0,True,,100.0
mourning,35.0,0,0,0,0,0,3,1,5.0,0,0,0.010436421171775779,n s v,0.0,True,,100.0
mouse,95.0,0,2,0,7,0,8,3,0.0,0,3,0.03236645454050687,n v,0.01507537688442211,True,,199.0
mousse,5.0,0,0,0,0,0,0,0,0.0,0,0,0.0017188857131603835,n v,0.0,True,,97.0
mouth,11.0,0,1,0,2,0,0,1,0.0,0,1,0.0029418199176461796,n v,0.0,True,,100.0
movable,8.0,0,0,0,0,0,1,0,0.0,0,0,0.002158526193056827,n s,0.0,True,,98.0
move,22.0,0,1,0,0,0,2,1,11.0,0,0,0.013953204439670606,n v,0.0,True,,100.0
move on,22.0,0,0,0,1,0,3,0,0.0,0,0,0.012987748184759208,,0.0,True,,100.0
movement,21.0,0,3,0,3,0,0,0,0.0,0,3,0.04664144784378496,n,0.030927835051546393,True,,97.0
movie,13.0,0,0,0,1,0,0,1,0.0,0,0,0.0016722991614766508,n,0.0,True,,198.0
movie star,12.0,0,0,0,0,0,1,0,0.0,0,0,0.005262920502209768,,0.0,True,,100.0
moving,25.0,0,0,0,0,0,2,1,9.0,0,0,0.007436486072849709,a v,0.0,True,,99.0
mow,51.0,0,0,0,0,0,0,0,0.0,0,0,0.023185550082101807,n v,0.0,True,,87.0
mower,65.0,0,0,0,0,0,1,0,0.0,0,0,0.021400018993632218,n,0.0,True,,93.0
mozzarella,2.0,0,0,0,0,0,0,0,0.0,0,0,0.00025278677652220495,n,0.0,True,,100.0
much,32.0,0,0,0,1,0,1,1,0.0,0,0,0.013236022216344883,n r a,0.0,True,,100.0
